UDI,ProductID,Type,AirTemperature_K_,ProcessTemperature_K_,RotationalSpeed_rpm_,Torque_Nm_,ToolWear_min_,FailureType
6849,M21708,M,301.1,311.3,1389,53.3,8,0
9746,L56925,L,298.8,310,1611,32.4,183,0
3505,M18364,M,301.7,310.8,1524,41.3,147,0
5589,M20448,M,302.5,311.8,1566,37.6,54,0
3721,M18580,M,302.4,311.4,1508,41.2,60,0
1316,L48495,L,299,310.3,1520,45,171,0
8927,M23786,M,297.3,308.3,1459,59.6,207,1
8847,M23706,M,297.4,308.8,1325,62.4,204,1
881,M15740,M,295.8,306.3,1235,76.2,89,1
4477,L51656,L,302.6,310.4,1415,52.1,12,0
592,H30005,H,297.5,309.3,1525,41.7,235,0
551,L47730,L,297.4,309.2,1698,29.4,119,0
4699,L51878,L,303.4,311.6,1564,41.9,137,0
2887,H32300,H,300.5,309.5,1635,34.2,62,0
2777,L49956,L,300.1,309.4,1453,47.6,28,0
897,L48076,L,295.5,306.1,1573,35.1,129,0
4680,L51859,L,303.6,311.8,1695,30.7,90,0
243,L47422,L,298,308.2,1348,58.8,202,1
4662,L51841,L,303.3,311.3,1350,48.1,32,1
4152,M19011,M,301.9,310.4,1373,48,73,1
4834,L52013,L,303.4,311.9,1377,41.6,34,1
9937,H39350,H,298.3,308.2,1534,33.2,75,0
424,L47603,L,297.3,308.3,1484,43.9,13,0
7932,L55111,L,300.7,311.7,1499,38.4,205,0
7081,L54260,L,300.7,310.4,1543,47.3,203,0
4537,L51716,L,302.4,310.2,1351,45.1,168,1
45,M14904,M,298.8,309.1,1472,47.5,125,0
7249,L54428,L,300,310.1,1762,28,202,0
4719,L51898,L,303.3,311.6,1337,56.8,187,1
7162,L54341,L,300.2,310.2,1440,42.9,191,0
2931,H32344,H,300.7,309.6,1403,51.3,174,0
1017,M15876,M,296.3,307.2,1319,68.3,24,1
5378,L52557,L,302.9,312.4,2030,19.1,192,0
5747,M20606,M,302.1,311.5,1635,31.6,23,0
6921,M21780,M,301.2,311.6,1423,48,199,0
2170,L49349,L,299.5,309.1,1415,49.2,8,0
2865,H32278,H,300.6,309.4,1380,47.6,246,1
2944,H32357,H,300.7,309.5,2007,19.7,2,0
1336,L48515,L,299,310.4,1371,53.8,228,1
7652,M22511,M,300.4,311.5,1476,32.6,144,0
7084,L54263,L,300.7,310.4,1416,61.8,209,1
4081,L51260,L,302,310.4,1357,58,108,1
848,L48027,L,296.4,307.4,2833,5.6,213,1
5401,L52580,L,302.7,312.4,1477,46.3,251,1
3776,H33189,H,302.5,311.1,1850,23.3,203,0
4449,L51628,L,302.4,310.3,1374,51.2,163,1
4343,M19202,M,301.7,309.8,1284,68.2,111,1
8920,L56099,L,297.2,308.3,1693,28,188,0
7812,M22671,M,300,311.4,1466,39,125,0
8433,L55612,L,298.8,310,1537,39.9,190,0
2636,H32049,H,299.9,309.6,1462,51,119,0
2371,L49550,L,299.2,308.4,1620,34.1,89,0
7012,L54191,L,300.5,310.5,2633,12.2,17,1
7595,L54774,L,300.6,311.3,1531,38.5,0,0
1882,L49061,L,298,307.6,1548,45.8,111,0
1145,L48324,L,297,307.9,1296,69.1,153,1
8200,L55379,L,299.2,310.7,1737,27,225,1
9655,L56834,L,299.1,310,1367,56.3,203,1
9502,L56681,L,299.3,310.3,1396,47.4,14,0
8604,H38017,H,297.3,308,1384,49.1,206,0
5491,L52670,L,302.6,312.1,1288,68.5,0,1
2167,M17026,M,299.6,309.2,1867,23.4,225,1
8483,L55662,L,298.4,309.5,1520,38.1,106,0
1327,L48506,L,298.9,310.2,1411,46.5,202,0
8438,L55617,L,298.7,309.8,1181,65.9,203,1
3585,L50764,L,301.8,310.6,1192,68.9,135,0
7221,L54400,L,299.8,309.7,1429,42.6,127,0
7998,M22857,M,301,312.2,2710,9.7,143,1
4622,L51801,L,303,311.2,1341,51,174,1
3854,L51033,L,302.4,311,1486,40.4,192,0
1325,M16184,M,298.8,310.1,1243,74.5,194,1
3370,L50549,L,301.5,310.9,2760,8,15,1
9601,M24460,M,298.9,310,1561,45.3,58,0
1009,L48188,L,296.2,307.1,1441,41.7,3,0
4371,L51550,L,302,309.9,1308,57.6,197,1
9716,L56895,L,299.1,310.1,1373,55.6,108,0
3936,M18795,M,302.6,311.6,1227,68.2,187,1
5738,L52917,L,302.3,311.8,1574,42.8,215,0
3453,H32866,H,301.6,310.5,1602,32.3,2,1
7565,M22424,M,300.3,311.2,1381,65.2,136,1
1660,L48839,L,298.1,308,1697,31,164,0
5707,L52886,L,302.4,311.9,1290,70,139,1
6738,M21597,M,301.7,311,1537,33.5,146,0
5472,L52651,L,302.7,312.3,1346,61.2,170,1
464,L47643,L,297.4,308.7,2874,4.2,118,1
5577,H34990,H,302.4,312,1457,43.4,23,0
5114,L52293,L,304.1,313.6,1382,46.7,134,0
4647,L51826,L,303.3,311.4,1497,46,234,1
4721,M19580,M,303.4,311.7,1353,44.1,192,1
9175,L56354,L,297.8,308.9,1871,25.6,200,1
3518,L50697,L,302,311,1550,35.2,184,0
8284,H37697,H,298.9,310.6,1615,33,221,0
51,L47230,L,298.9,309.1,2861,4.6,143,1
8230,L55409,L,299.1,310.5,1739,27.4,72,0
4670,M19529,M,303.3,311.5,1373,47.3,60,1
5015,L52194,L,303.8,313,1452,38.6,72,0
9914,L57093,L,298.5,308.8,1589,30.6,11,0
2110,M16969,M,299.3,309,1496,43.4,67,0
2091,L49270,L,299.5,309.2,1393,47.3,20,0
7885,L55064,L,300.8,312.4,1465,59.1,91,1
7409,L54588,L,299.9,310.9,1292,51.1,173,0
3207,M18066,M,300.1,309,1612,33,34,0
4817,L51996,L,303.4,312,1521,35.9,215,1
7084,L54263,L,300.7,310.4,1416,61.8,209,1
4557,M19416,M,302.7,310.6,1349,51.2,6,1
8804,L55983,L,297.4,308.5,1486,48.6,75,0
2891,L50070,L,300.6,309.7,1593,32.4,76,0
4921,L52100,L,303.4,312.2,1337,69.4,52,1
2247,L49426,L,299.3,308.4,1406,47.4,3,0
1572,L48751,L,298.3,308.4,1528,37.3,160,0
2139,L49318,L,299.3,309,1734,30.6,154,0
5084,L52263,L,304.1,313.1,1327,54.1,57,0
945,M15804,M,295.7,306.3,1712,28.5,43,0
8210,L55389,L,299.3,310.8,1391,46.9,21,0
1980,H31393,H,298,307.6,1420,45.8,150,0
5117,L52296,L,304.2,313.8,1401,53.9,142,0
1239,M16098,M,297.1,308.4,1615,32.6,184,0
6580,L53759,L,301.3,310.4,1501,41.6,192,0
6179,L53358,L,301.1,310.9,1282,67.9,10,1
5618,L52797,L,303.1,312.4,1404,61.5,127,1
2718,M17577,M,299.5,309.1,1422,45.3,103,0
1336,L48515,L,299,310.4,1371,53.8,228,1
7591,M22450,M,300.4,311,1433,46.1,199,0
2495,L49674,L,299.1,308.8,1329,53.6,207,1
8576,M23435,M,297.6,308.3,1648,29.1,134,0
7381,L54560,L,299.6,310.2,1743,24.8,99,0
7237,M22096,M,299.8,310,1460,37.1,169,0
4646,L51825,L,303.3,311.4,1732,25.6,232,0
4645,L51824,L,303.2,311.4,1514,41.2,230,0
6401,L53580,L,300.1,309.7,1601,35.8,160,0
4286,L51465,L,301.7,309.9,1317,49,187,1
4657,L51836,L,303.1,311.2,1626,32.3,21,0
3530,L50709,L,301.9,310.9,1567,39,214,1
8193,L55372,L,299.6,310.9,1229,65.2,209,1
1307,L48486,L,298.8,310,1487,41.4,152,0
7796,H37209,H,300.1,311.6,1674,29.6,85,0
6629,L53808,L,301.6,310.5,1593,34.5,102,0
2333,L49512,L,299.2,308.5,1378,50.4,220,1
4174,M19033,M,302.2,310.6,1346,49.2,134,1
5909,M20768,M,300.8,310.3,1526,36.3,205,0
7715,L54894,L,300.5,311.5,1487,43,78,0
1145,L48324,L,297,307.9,1296,69.1,153,1
4775,L51954,L,303.6,312,1827,23.3,103,0
4354,M19213,M,302,309.7,1386,62.7,142,1
4470,L51649,L,302.7,310.5,1446,40.9,211,1
523,M15382,M,297.5,309.5,1448,43.7,46,0
7670,L54849,L,300.7,311.8,1336,58.4,189,1
4511,L51690,L,302.4,310.2,1346,62.4,106,1
4534,M19393,M,302.4,310.3,1375,52.5,161,1
241,M15100,M,298,308.1,1339,51.6,197,0
4801,M19660,M,303.5,312.5,1353,51,172,0
9831,L57010,L,298.3,309.3,1337,56.1,206,1
1888,M16747,M,297.9,307.5,1642,32.4,126,0
6383,L53562,L,300.2,309.8,1481,41.9,106,0
6154,L53333,L,301,311.1,1236,64.4,177,1
2161,L49340,L,299.4,309,1507,41,213,0
4566,H33979,H,302.7,310.8,1275,55,25,1
3830,H33243,H,302.3,310.9,1366,48.4,130,1
9759,L56938,L,298.6,309.8,2271,16.2,218,1
4976,L52155,L,303.7,312.7,1426,45.5,192,0
